1,674575,Jeonghee Yi
2,674575,Farzin Maghoul
3,675487,Rich Gossweiler
4,675487,Maryam Kamvar
5,675487,Shumeet Baluja
6,675488,Christian Kohlschütter
7,675489,Uri Schonfeld
8,675489,Narayanan Shivakumar
9,675490,Adriano M. Pereira
10,675490,Diego Duarte
11,675490,Wagner Meira Jr.
12,675490,Virgilio Almeida
13,675490,Paulo Góes
14,675493,Maryam Kamvar
15,675493,Melanie Kellar
16,675493,Rajan Patel
17,675493,Ya Xu
18,675497,William Conner
19,675497,Arun Iyengar
20,675497,Thomas A. Mikalsen
21,675497,Isabelle Rouvellou
22,675497,Klara Nahrstedt
23,675498,Wei Chu
24,675498,Seung-Taek Park
25,675500,Munmun De Choudhury
26,675500,Hari Sundaram
27,675500,Ajita John
28,675500,Dorée D. Seligmann
29,675501,Elena Zheleva
30,675501,Lise Getoor
31,675502,Xuerui Wang
32,675502,Andrei Z. Broder
33,675502,Marcus Fontoura
34,675502,Vanja Josifovski
35,675503,Xiaofeng He
36,675503,Lei Duan
37,675503,Yiping Zhou
38,675503,Byron Dom
39,675504,Santanu Kolay
40,675504,Ali Dasdan
41,675505,Manolis Platakis
42,675505,Dimitrios Kotsakos
43,675505,Dimitrios Gunopulos
44,675506,Akiyo Nadamoto
45,675506,Eiji Aramaki
46,675506,Takeshi Abekawa
47,675506,Yohei Murakami
48,675507,WenYen Chen
49,675507,Jon-Chyuan Chu
50,675507,Junyi Luan
51,675507,Hongjie Bai
52,675507,Yi Wang
53,675507,Edward Y. Chang
54,675508,Philipp Scholl
55,675508,Renato Domínguez García
56,675508,Doreen Böhnstedt
57,675508,Christoph Rensing
58,675508,Ralf Steinmetz
59,675509,Ali Dasdan
60,675509,Xinh Huynh
61,675510,Chen Lin
62,675510,Jiang-Ming Yang
63,675510,Rui Cai
64,675510,Xin-Jing Wang
65,675510,Wei Wang
66,675510,Lei Zhang
67,675511,Ning Liu
68,675511,Jun Yan
69,675511,Weiguo Fan
70,675511,Qiang Yang
71,675511,Zheng Chen
72,675512,Ossama Abdel Hamid
73,675512,Behshad Behzadi
74,675512,Stefan Christoph
75,675512,Monika Rauch Henzinger
76,675513,Paul N. Bennett
77,675513,David Maxwell Chickering
78,675513,Anton Mityagin
79,675514,Arjun Guha
80,675514,Shriram Krishnamurthi
81,675514,Trevor Jim
82,675515,Junfeng Wang
83,675515,Xiaofei He
84,675515,Can Wang
85,675515,Jian Pei
86,675515,Jiajun Bu
87,675515,Chun Chen
88,675515,Ziyu Guan
89,675515,Gang Lu
90,675516,Bo Jiang
91,675516,W. K. Chan
92,675516,Zhenyu Zhang
93,675516,T. H. Tse
94,675517,Sharad Goel
95,675517,Roby Muhamad
96,675517,Duncan J. Watts
97,675518,Siddharth Mitra
98,675518,Mayank Agrawal
99,675518,Amit Yadav
100,675518,Niklas Carlsson
101,675518,Derek L. Eager
102,675518,Anirban Mahanti
103,675519,Gagan Aggarwal
104,675519,S. Muthukrishnan
105,675519,Dávid Pál
106,675519,Martin Pál
107,675520,Haofen Wang
108,675520,Qiaoling Liu
109,675520,Gui-Rong Xue
110,675520,Yong Yu
111,675520,Lei Zhang
112,675520,Yue Pan
113,675521,Shengyue Ji
114,675521,Guoliang Li
115,675521,Chen Li
116,675521,Jianhua Feng
117,675522,Fan Guo
118,675522,Chao Liu
119,675522,Anitha Kannan
120,675522,Tom Minka
121,675522,Michael J. Taylor
122,675522,Yi Min Wang
123,675522,Christos Faloutsos
124,675523,Matthias Keller
125,675523,Martin Nussbaumer
126,675524,Joshua M. Hailpern
127,675524,Loretta Guarino Reid
128,675524,Richard Boardman
129,675524,Srinivas Annam
130,675525,Jérôme Kunegis
131,675525,Andreas Lommatzsch
132,675525,Christian Bauckhage
133,675526,David J. Crandall
134,675526,Lars Backstrom
135,675526,Daniel P. Huttenlocher
136,675526,Jon M. Kleinberg
137,675527,Jiang-Ming Yang
138,675527,Rui Cai
139,675527,Yida Wang
140,675527,Jun Zhu
141,675527,Lei Zhang
142,675527,Wei-Ying Ma
143,675528,Sihong Xie
144,675528,Wei Fan
145,675528,Jing Peng
146,675528,Olivier Verscheure
147,675528,Jiangtao Ren
148,675529,Lyndon S. Kennedy
149,675529,Mor Naaman
150,675530,Shuyi Zheng
151,675530,Pavel Dmitriev
152,675530,C. Lee Giles
153,675531,Jyh-Ren Shieh
154,675531,Yung-Huan Hsieh
155,675531,Yang-Ting Yeh
156,675531,Tse-Chung Su
157,675531,Ching-Yung Lin
158,675531,Ja-Ling Wu
159,675532,Jorge Gracia
160,675532,Mathieu d'Aquin
161,675532,Eduardo Mena
162,675533,Jack Lindamood
163,675533,Raymond Heatherly
164,675533,Murat Kantarcioglu
165,675533,Bhavani M. Thuraisingham
166,675534,Hao Yan
167,675534,Shuai Ding
168,675534,Torsten Suel
169,675535,Ulrik Brandes
170,675535,Patrick Kenis
171,675535,Jürgen Lerner
