674575,Query clustering using click-through graph.,WWW,2009
675487,What's up CAPTCHA?: a CAPTCHA based on image orientation.,WWW,2009
675488,A densitometric analysis of web template content.,WWW,2009
675489,Sitemaps: above and beyond the crawl of duty.,WWW,2009
675490,Analyzing seller practices in a Brazilian marketplace.,WWW,2009
675493,Computers and iphones and mobile phones  oh my!: a logs-based comparison of search users on different devices.,WWW,2009
675497,A trust management framework for service-oriented environments.,WWW,2009
675498,Personalized recommendation on dynamic content using predictive bilinear models.,WWW,2009
675500,What makes conversations interesting?: themes  participants and consequences of conversations in online social media.,WWW,2009
675501,To join or not to join: the illusion of privacy in social networks with mixed public and private user profiles.,WWW,2009
675502,A search-based method for forecasting ad impression in contextual advertising.,WWW,2009
675503,Threshold selection for web-page classification with highly skewed class distribution.,WWW,2009
675504,The value of socially tagged urls for a search engine.,WWW,2009
675505,Searching for events in the blogosphere.,WWW,2009
675506,Content hole search in community-type content.,WWW,2009
675507,Collaborative filtering for orkut communities: discovery of user latent behavior.,WWW,2009
675508,Towards language-independent web genre detection.,WWW,2009
675509,User-centric content freshness metrics for search engines.,WWW,2009
675510,Modeling semantics and structure of discussion threads.,WWW,2009
675511,Identifying vertical search intention of query through social tagging propagation.,WWW,2009
675512,Detecting the origin of text segments efficiently.,WWW,2009
675513,Learning consensus opinion: mining data from a labeling game.,WWW,2009
675514,Using static analysis for Ajax intrusion detection.,WWW,2009
675515,News article extraction with template-independent wrapper.,WWW,2009
675516,Where to adapt dynamic service compositions.,WWW,2009
675517,Social search in Small-World experiments.,WWW,2009
675518,Characterizing web-based video sharing workloads.,WWW,2009
675519,General auction mechanism for search advertising.,WWW,2009
675520,Dataplorer: a scalable search engine for the data web.,WWW,2009
675521,Efficient interactive fuzzy keyword search.,WWW,2009
675522,Click chain model in web search.,WWW,2009
675523,Cascading style sheets: a novel approach towards productive styling with today's standards.,WWW,2009
675524,Web 2.0: blind to an accessible new world.,WWW,2009
675525,The slashdot zoo: mining a social network with negative edges.,WWW,2009
675526,Mapping the world's photos.,WWW,2009
675527,Incorporating site-level knowledge to extract structured data from web forums.,WWW,2009
675528,Latent space domain transfer between high dimensional overlapping distributions.,WWW,2009
675529,Less talk  more rock: automated organization of community-contributed collections of concert videos.,WWW,2009
675530,Graph based crawler seed selection.,WWW,2009
675531,Building term suggestion relational graphs from collective intelligence.,WWW,2009
675532,Large scale integration of senses for the semantic web.,WWW,2009
675533,Inferring private information using social network data.,WWW,2009
675534,Inverted index compression and query processing with optimized document ordering.,WWW,2009
675535,Network analysis of collaboration structure in Wikipedia.,WWW,2009
675536,Detecting image spam using local invariant features and pyramid match kernel.,WWW,2009
675537,Analysis of community structure in Wikipedia.,WWW,2009
675538,Answering approximate queries over autonomous web databases.,WWW,2009
675539,Compressed web indexes.,WWW,2009
675540,Estimating the impressionrank of web pages.,WWW,2009
675541,Privacy diffusion on the web: a longitudinal perspective.,WWW,2009
675542,Rated aspect summarization of short comments.,WWW,2009
675543,sMash: semantic-based mashup navigation for data API network.,WWW,2009
675544,MASTH proxy: an extensible platform for web overload control.,WWW,2009
675545,Discovering the staring people from social networks.,WWW,2009
675546,Collective privacy management in social networks.,WWW,2009
675547,Enhancing diversity  coverage and balance for summarization through structure learning.,WWW,2009
675548,Ranking community answers via analogical reasoning.,WWW,2009
675549,Automated synthesis of composite services with correctness guarantee.,WWW,2009
675550,SOFIE: a self-organizing framework for information extraction.,WWW,2009
675551,Towards intent-driven bidterm suggestion.,WWW,2009
675552,Co-browsing dynamic web pages.,WWW,2009
675553,A generalised cross-modal clustering method applied to multimedia news semantic indexing and retrieval.,WWW,2009
675554,Tag-oriented document summarization.,WWW,2009
675555,Web content accessibility guidelines: from 1.0 to 2.0.,WWW,2009
675556,Matchbox: large scale online bayesian recommendations.,WWW,2009
675557,Ranking and classifying attractiveness of photos in folksonomies.,WWW,2009
675558,Efficient overlap and content reuse detection in blogs and online news articles.,WWW,2009
675559,Network-aware forward caching.,WWW,2009
675560,Exploiting web search to generate synonyms for entities.,WWW,2009
675561,Mashroom: end-user mashup programming using nested tables.,WWW,2009
675562,Deriving music theme annotations from user tags.,WWW,2009
675563,Measuring the similarity between implicit semantic relations from the web.,WWW,2009
675564,Visual diversification of image search results.,WWW,2009
675565,Online expansion of rare queries for sponsored search.,WWW,2009
675566,Web image retrieval reranking with multi-view clustering.,WWW,2009
675567,XQuery in the browser.,WWW,2009
675568,Automated construction of web accessibility models from transaction click-streams.,WWW,2009
675569,Large scale multi-label classification via metalabeler.,WWW,2009
675570,Triplify: light-weight linked data publication from relational databases.,WWW,2009
675571,Scrolling behaviour with single- and multi-column layout.,WWW,2009
675572,Privacy preserving frequency capping in internet banner advertising.,WWW,2009
675573,Tag ranking.,WWW,2009
675574,Towards lightweight and efficient DDOS attacks detection for web server.,WWW,2009
675575,Learning to recognize reliable users and content in social media with coupled mutual reinforcement.,WWW,2009
675576,The web of nations.,WWW,2009
675577,Nearest-neighbor caching for content-match applications.,WWW,2009
675578,A geographical analysis of knowledge production in computer science.,WWW,2009
675579,HTML templates that fly: a template engine approach to automated offloading from server to client.,WWW,2009
675580,Buzz-based recommender system.,WWW,2009
675581,Highly scalable web applications with zero-copy data transfer.,WWW,2009
675582,Evaluating similarity measures for emergent semantics of social tagging.,WWW,2009
675583,Visualization of Geo-annotated pictures in mobile phones.,WWW,2009
675584,Semantic wiki aided business process specification.,WWW,2009
675585,Instance-based probabilistic reasoning in the semantic web.,WWW,2009
675586,A flexible dialogue system for enhancing web usability.,WWW,2009
675587,Characterizing insecure javascript practices on the web.,WWW,2009
675588,Community gravity: measuring bidirectional effects by trust and rating on online social networks.,WWW,2009
675589,Fast dynamic reranking in large graphs.,WWW,2009
675590,Bucefalo: a tool for intelligent search and filtering for web-based personal health records.,WWW,2009
